participant,Age*,Gender*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,stim_sp_0,stim_sp_1,stim_sp_2,mouse_response_2.x,mouse_response_2.y,mouse_response_2.leftButton,mouse_response_2.midButton,mouse_response_2.rightButton,mouse_response_2.time,key_resp_4.keys,key_resp_4.rt,block_num,stimWord_0,stimWord_1,stimWord_2,stimWord_3,recall_cue_loop.thisRepN,recall_cue_loop.thisTrialN,recall_cue_loop.thisN,recall_cue_loop.thisIndex,recall_cue_loop.ran,respWord_0,respWord_1,respWord_2,respWord_3,correct_words_loop.thisRepN,correct_words_loop.thisTrialN,correct_words_loop.thisN,correct_words_loop.thisIndex,correct_words_loop.ran,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,trials_loop.ran,cond,stim_sp_3,mouse_response.x,mouse_response.y,mouse_response.leftButton,mouse_response.midButton,mouse_response.rightButton,mouse_response.time,resp_sp_0,resp_sp_1,resp_sp_2,resp_sp_3,rest_time_block5.keys,stimWord_4,respWord_4,stim_sp_4,resp_sp_4,stimWord_5,respWord_5,stim_sp_5,resp_sp_5,change_block.thisRepN,change_block.thisTrialN,change_block.thisN,change_block.thisIndex,change_block.ran,change_block.order,trials_loop.order
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,r4_c5,r2_c3,r4_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,spatial.xlsx,r3_c4,"[0.3958092292278667,0.004381077795786062,0.006184533117655997,0.14759111945401135]","[-0.29548227072148503,0.03494732576985413,-0.2762539212862135,-0.14042611639928587]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.3117000000178791,1.1127000000178668,1.531499999999994,1.9310999999940464]",r4_c5_2,r2_c3_2,r4_c3_2,r3_c4_2,,,,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,lace,bind,dent,toss,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,lace,bind,dent,toss,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,excel_files/ll_4/odd_83.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,dash,lump,slap,tune,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,dash,lump,slap,tune,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,1,excel_files/ll_4/even_83.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,r3_c5,r2_c4,r4_c4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,1,spatial.xlsx,r3_c3,"[0.3636676411188209,0.1998221769904781,0.1870152799584684,0.0413272307409846]","[-0.08491197088355956,0.05431659024577087,-0.27454642074807534,-0.14982498638826985]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.25069999998800085,0.70049999999992,1.1166999999879863,1.4816999999879954]",r3_c5_2,r2_c4_2,r4_c4_2,r3_c3_2,,,,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,r3_c4,r2_c5,r4_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,spatial.xlsx,r1_c2,"[0.1607271315019753,0.3309721861704822,0.009699149108589952,-0.1754293333576023]","[-0.14232903825212723,0.04730551053484603,-0.24175164765245138,0.24418086170956999]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.21300000000007913,0.6986000000239301,1.2148000000120192,1.9815000000000964]",r3_c4_2,r2_c5_2,r4_c3_2,r1_c2_2,,,,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,0,silk,slap,deed,wage,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,pile,,,,,,,,,,,,,,
